Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),"24-Hour Passes Purchased (midnight to 11:59 pm)	7-Day Passes Purchased (midnight to 11:59 pm)"
10/1/2013,44772,4013952,73.665,"7,713,294",85494,258,1004
10/2/2013,45667,4059619,76.149,"7,789,442",85773,279,1129
10/3/2013,44472,4104091,72.635,"7,862,077",86333,560,1076
10/4/2013,44089,4148180,74.223,"7,936,300",87112,779,1434
10/5/2013,37683,4185863,73.892,"8,010,192",87862,750,2971
10/6/2013,29029,4214892,49.887,"8,060,079",88604,742,1368
10/7/2013,27504,4242396,40.324,"8,100,403",89189,585,421
10/8/2013,42200,4284596,69.116,"8,169,518",89521,332,896
10/9/2013,40607,4325203,62.214,"8,231,732",89769,248,714
10/10/2013,34107,4359310,49.732,"8,281,464",89951,182,482
10/11/2013,36381,4395691,56.497,"8,337,961",90121,170,798
10/12/2013,35480,4431171,69.841,"8,407,802",90301,180,2855
10/13/2013,31501,4462672,59.556,"8,467,357",90522,221,2208
10/14/2013,36186,4498858,60.261,"8,527,618",90770,248,1291
10/15/2013,41459,4540317,66.625,"8,594,243",90977,207,934
10/16/2013,40644,4580961,64.115,"8,658,358",91171,194,789
10/17/2013,40363,4621324,63.927,"8,722,285",91343,172,815
10/18/2013,41775,4663099,69.165,"8,791,450",91551,208,1267
10/19/2013,32469,4695568,59.523,"8,850,973",91659,108,2146
10/20/2013,32016,4727584,60.67,"8,911,643",91815,156,2114
10/21/2013,38348,4765932,62.216,"8,973,859",92029,214,849
10/22/2013,39741,4805673,60.424,"9,034,282",92213,184,636
10/23/2013,35358,4841031,50.319,"9,084,602",92324,111,355
10/24/2013,35238,4876269,50.61,"9,135,212",92410,86,444
10/25/2013,33711,4909980,50.109,"9,185,320",92505,95,592
10/26/2013,26653,4936633,45.372,"9,230,693",92598,93,1387
10/27/2013,25980,4962613,44.415,"9,275,108",92698,100,1362
10/28/2013,34298,4996911,52.643,"9,327,752",92844,146,530
10/29/2013,36280,5033191,53.765,"9,381,516",92944,100,450
10/30/2013,37817,5071008,54.94,"9,436,457",93035,91,453
10/31/2013,33991,5104999,51.283,"9,487,740",93137,102,464
11/1/2013,33193,5138192,52.035,"9,539,774",93221,84,848
11/2/2013,33688,5171880,64.833,"9,604,607",93320,94,2434
11/3/2013,22414,5194294,34.853,"9,639,461",93424,104,831
11/4/2013,29474,5223768,42.802,"9,682,263",93495,71,429
11/5/2013,34179,5257947,49.677,"9,731,940",93598,103,471
11/6/2013,37785,5295732,58.125,"9,790,064",93706,108,627
11/7/2013,27849,5323581,38.518,"9,828,583",93804,93,221
11/8/2013,31032,5354613,45.872,"9,874,455",93859,61,456
